"linter","tags"
"qr_X_signature_linter","signature"
"quarters_signature_linter","signature"
"quit_signature_linter","signature"
"quote_signature_linter","signature"
"R_system_version_signature_linter","signature"
"R_home_signature_linter","signature"
"rank_signature_linter","signature"
"raw_signature_linter","signature"
"rawConnection_signature_linter","signature"
"rawConnectionValue_signature_linter","signature"
"rawShift_signature_linter","signature"
"rawToBits_signature_linter","signature"
"rawToChar_signature_linter","signature"
"Re_signature_linter","signature"
"read_dcf_signature_linter","signature"
"readBin_signature_linter","signature"
"readChar_signature_linter","signature"
"readline_signature_linter","signature"
"readLines_signature_linter","signature"
"readRDS_signature_linter","signature"
"readRenviron_signature_linter","signature"
"Reduce_signature_linter","signature"
"reg_finalizer_signature_linter","signature"
"regexec_signature_linter","signature"
"regexpr_signature_linter","signature"
"regmatches_signature_linter","signature"
"removeTaskCallback_signature_linter","signature"
"rep_len_signature_linter","signature"
"rep_int_signature_linter","signature"
"replace_signature_linter","signature"
"replicate_signature_linter","signature"
"require_signature_linter","signature"
"restartDescription_signature_linter","signature"
"restartFormals_signature_linter","signature"
"retracemem_signature_linter","signature"
"returnValue_signature_linter","signature"
"rev_signature_linter","signature"
"rev_default_signature_linter","signature"
"rle_signature_linter","signature"
"RNGkind_signature_linter","signature"
"RNGversion_signature_linter","signature"
"round_POSIXt_signature_linter","signature"
"row_signature_linter","signature"
"row_names_signature_linter","signature"
"row_names_data_frame_signature_linter","signature"
"row_names_default_signature_linter","signature"
"rowMeans_signature_linter","signature"
"rownames_signature_linter","signature"
"rowSums_signature_linter","signature"
"sample_signature_linter","signature"
"sample_int_signature_linter","signature"
"save_image_signature_linter","signature"
"saveRDS_signature_linter","signature"
"scale_signature_linter","signature"
"scale_default_signature_linter","signature"
"scan_signature_linter","signature"
"seq_along_signature_linter","signature"
"seq_len_signature_linter","signature"
"serialize_signature_linter","signature"
"serverSocket_signature_linter","signature"
"set_seed_signature_linter","signature"
"setdiff_signature_linter","signature"
"setequal_signature_linter","signature"
"setHook_signature_linter","signature"
"setNamespaceInfo_signature_linter","signature"
"setSessionTimeLimit_signature_linter","signature"
"setTimeLimit_signature_linter","signature"
"setwd_signature_linter","signature"
"showConnections_signature_linter","signature"
"shQuote_signature_linter","signature"
"sign_signature_linter","signature"
"signalCondition_signature_linter","signature"
"signif_signature_linter","signature"
"simpleCondition_signature_linter","signature"
"simpleError_signature_linter","signature"
"simpleMessage_signature_linter","signature"
"simpleWarning_signature_linter","signature"
"sin_signature_linter","signature"
"single_signature_linter","signature"
"sinh_signature_linter","signature"
"sink_signature_linter","signature"
"sink_number_signature_linter","signature"
"sinpi_signature_linter","signature"
"slice_index_signature_linter","signature"
"socketAccept_signature_linter","signature"
"socketConnection_signature_linter","signature"
"socketSelect_signature_linter","signature"
"socketTimeout_signature_linter","signature"
"sort_int_signature_linter","signature"
"sort_list_signature_linter","signature"
"source_signature_linter","signature"
"sqrt_signature_linter","signature"
"sQuote_signature_linter","signature"
"srcfile_signature_linter","signature"
"srcfilealias_signature_linter","signature"
"srcfilecopy_signature_linter","signature"
"srcref_signature_linter","signature"
"standardGeneric_signature_linter","signature"
"startsWith_signature_linter","signature"
"storage_mode_signature_linter","signature"
"strptime_signature_linter","signature"
"strrep_signature_linter","signature"
"strsplit_signature_linter","signature"
"strtoi_signature_linter","signature"
"strtrim_signature_linter","signature"
"strwrap_signature_linter","signature"
"sub_signature_linter","signature"
"substitute_signature_linter","signature"
"substr_signature_linter","signature"
"substring_signature_linter","signature"
"suppressMessages_signature_linter","signature"
"suppressPackageStartupMessages_signature_linter","signature"
"suppressWarnings_signature_linter","signature"
"suspendInterrupts_signature_linter","signature"
"svd_signature_linter","signature"
"sys_call_signature_linter","signature"
"Sys_chmod_signature_linter","signature"
"sys_frame_signature_linter","signature"
"sys_function_signature_linter","signature"
"Sys_getenv_signature_linter","signature"
"Sys_getlocale_signature_linter","signature"
"Sys_glob_signature_linter","signature"
"sys_load_image_signature_linter","signature"
"sys_parent_signature_linter","signature"
"Sys_readlink_signature_linter","signature"
"sys_save_image_signature_linter","signature"
"Sys_setFileTime_signature_linter","signature"
"Sys_setLanguage_signature_linter","signature"
"Sys_setlocale_signature_linter","signature"
"Sys_sleep_signature_linter","signature"
"sys_source_signature_linter","signature"
"Sys_timezone_signature_linter","signature"
"Sys_umask_signature_linter","signature"
"Sys_unsetenv_signature_linter","signature"
"Sys_which_signature_linter","signature"
"system_signature_linter","signature"
"system_time_signature_linter","signature"
"t_signature_linter","signature"
"t_data_frame_signature_linter","signature"
"t_default_signature_linter","signature"
"tabulate_signature_linter","signature"
"tan_signature_linter","signature"
"tanh_signature_linter","signature"
"tanpi_signature_linter","signature"
"taskCallbackManager_signature_linter","signature"
"tempdir_signature_linter","signature"
"tempfile_signature_linter","signature"
"textConnection_signature_linter","signature"
"textConnectionValue_signature_linter","signature"
"tolower_signature_linter","signature"
"topenv_signature_linter","signature"
"toupper_signature_linter","signature"
"trace_signature_linter","signature"
"traceback_signature_linter","signature"
"tracemem_signature_linter","signature"
"tracingState_signature_linter","signature"
"trigamma_signature_linter","signature"
"trimws_signature_linter","signature"
"try_signature_linter","signature"
"typeof_signature_linter","signature"
"unCfillPOSIXlt_signature_linter","signature"
"unclass_signature_linter","signature"
"undebug_signature_linter","signature"
"union_signature_linter","signature"
"units_signature_linter","signature"
"units_difftime_signature_linter","signature"
"unlink_signature_linter","signature"
"unlist_signature_linter","signature"
"unloadNamespace_signature_linter","signature"
"unlockBinding_signature_linter","signature"
"unname_signature_linter","signature"
"unserialize_signature_linter","signature"
"unsplit_signature_linter","signature"
"untrace_signature_linter","signature"
"untracemem_signature_linter","signature"
"unz_signature_linter","signature"
"upper_tri_signature_linter","signature"
"url_signature_linter","signature"
"use_signature_linter","signature"
"UseMethod_signature_linter","signature"
"validEnc_signature_linter","signature"
"vector_signature_linter","signature"
"Vectorize_signature_linter","signature"
"weekdays_signature_linter","signature"
"weekdays_Date_signature_linter","signature"
"weekdays_POSIXt_signature_linter","signature"
"which_signature_linter","signature"
"which_max_signature_linter","signature"
"which_min_signature_linter","signature"
"withVisible_signature_linter","signature"
"write_signature_linter","signature"
"write_dcf_signature_linter","signature"
"writeBin_signature_linter","signature"
"writeChar_signature_linter","signature"
"writeLines_signature_linter","signature"
"xor_signature_linter","signature"
"xpdrows_data_frame_signature_linter","signature"
"xtfrm_signature_linter","signature"
"xtfrm_AsIs_signature_linter","signature"
"xtfrm_data_frame_signature_linter","signature"
"xtfrm_Date_signature_linter","signature"
"xtfrm_default_signature_linter","signature"
"xtfrm_difftime_signature_linter","signature"
"xtfrm_factor_signature_linter","signature"
"xtfrm_numeric_version_signature_linter","signature"
"xtfrm_POSIXct_signature_linter","signature"
"xtfrm_POSIXlt_signature_linter","signature"
"xzfile_signature_linter","signature"
"zapsmall_signature_linter","signature"
"zstdfile_signature_linter","signature"
